pick_band,draft_year,surplus_3yr_forecast
01–08,2022,-18.676344304775224
01–08,2023,-25.679688630944725
01–08,2024,-32.68303295711422
09–16,2022,-14.964680395104985
09–16,2023,-20.959360811281226
09–16,2024,-26.954041227457466
17–32,2022,-13.101000045765993
17–32,2023,-18.941000098245873
17–32,2024,-24.781000150725752
33–64,2022,-9.647000028959381
33–64,2023,-13.497000052846335
33–64,2024,-17.34700007673329
65–96+,2022,-6.368000014916065
65–96+,2023,-9.412000028595333
65–96+,2024,-12.456000042274603
