pick_band,draft_year,surplus_3yr
01–08,2006,-1.078
01–08,2007,-1.012
01–08,2008,-1.543
01–08,2009,-4.062
01–08,2010,-5.479
01–08,2011,-2.279
01–08,2012,-0.305
01–08,2013,-2.249
01–08,2014,-4.668
01–08,2015,-4.552
01–08,2016,4.444
01–08,2017,6.183
01–08,2018,8.551
01–08,2019,2.095
01–08,2020,-4.325
01–08,2021,-11.673
09–16,2006,-2.855
09–16,2007,-0.12
09–16,2008,-0.966
09–16,2009,-1.752
09–16,2010,-2.071
09–16,2011,0.781
09–16,2012,3.924
09–16,2013,1.773
09–16,2014,2.481
09–16,2015,0.044
09–16,2016,2.947
09–16,2017,4.447
09–16,2018,6.891
09–16,2019,3.913
09–16,2020,-2.559
09–16,2021,-8.97
17–32,2006,2.161
17–32,2007,1.248
17–32,2008,0.739
17–32,2009,0.756
17–32,2010,0.574
17–32,2011,-0.109
17–32,2012,-1.441
17–32,2013,-0.766
17–32,2014,-0.84
17–32,2015,-1.232
17–32,2016,-1.369
17–32,2017,2.432
17–32,2018,4.999
17–32,2019,3.974
17–32,2020,-1.421
17–32,2021,-7.261
33–64,2006,2.768
33–64,2007,1.7
33–64,2008,1.029
33–64,2009,-0.282
33–64,2010,-0.889
33–64,2011,-1.263
33–64,2012,-1.104
33–64,2013,-0.703
33–64,2014,-0.624
33–64,2015,-0.64
33–64,2016,2.222
33–64,2017,4.693
33–64,2018,5.512
33–64,2019,2.243
33–64,2020,-1.947
33–64,2021,-5.797
65–96+,2006,-4.151
65–96+,2007,-2.952
65–96+,2008,-2.21
65–96+,2009,-0.823
65–96+,2010,0.741
65–96+,2011,0.985
65–96+,2012,1.803
65–96+,2013,1.808
65–96+,2014,1.918
65–96+,2015,1.262
65–96+,2016,2.391
65–96+,2017,4.196
65–96+,2018,5.222
65–96+,2019,2.847
65–96+,2020,-0.28
65–96+,2021,-3.324
