player_name,draft_year,team,pick,pos_group,av_y1_4,apy_m,roi,surplus,cluster
Mario Williams,2006,HOU,1,EDGE,38.0,9.0,4.222222222222222,4.0,2
Kamerion Wimbley,2006,CLE,13,EDGE,27.0,2.091875,12.907080968031073,2.3999999999999986,3
Tamba Hali,2006,KAN,20,EDGE,31.0,1.9,16.315789473684212,12.427083333333336,0
Manny Lawson,2006,SFO,22,EDGE,20.0,1.7075,11.71303074670571,1.4270833333333357,3
Mathias Kiwanuka,2006,NYG,32,EDGE,21.0,1.3952,15.051605504587156,2.427083333333336,3
Frostee Rucker,2006,CIN,91,EDGE,6.0,0.5575,10.762331838565023,-0.0999999999999996,1
Jason Hatcher,2006,DAL,92,EDGE,6.0,0.555625,10.798650168728908,-0.0999999999999996,1
Adam Carriker,2007,STL,13,EDGE,17.0,2.569,6.617360840794084,-7.600000000000001,3
Anthony Spencer,2007,DAL,26,EDGE,19.0,1.8,10.555555555555555,0.4270833333333357,3
LaMarr Woodley,2007,PIT,46,EDGE,37.0,0.8825,41.92634560906516,21.933333333333334,0
Charles Johnson,2007,CAR,83,EDGE,14.0,0.59375,23.57894736842105,3.533333333333333,1
Ray McDonald,2007,SFO,97,EDGE,10.0,0.564375,17.718715393133998,3.9,1
Chris Long,2008,STL,2,EDGE,25.0,9.6,2.604166666666667,0.0,2
Vernon Gholston,2008,NYJ,6,EDGE,6.0,6.5,0.9230769230769232,-18.6,2
Calais Campbell,2008,ARI,50,EDGE,24.0,0.869875,27.59017100158069,8.933333333333334,0
Jason Jones,2008,TEN,54,EDGE,16.0,0.8025,19.937694704049843,4.199999999999999,0
Kendall Langford,2008,MIA,66,EDGE,25.0,0.643141,38.87172486282169,13.2,0
Tyson Jackson,2009,KAN,3,EDGE,21.0,9.8,2.142857142857143,-3.6000000000000014,2
Robert Ayers,2009,DEN,18,EDGE,13.0,2.6,5.0,-5.572916666666664,3
Connor Barwin,2009,HOU,46,EDGE,18.0,1.0025,17.955112219451372,2.9333333333333336,0
Paul Kruger,2009,BAL,57,EDGE,9.0,0.8125,11.076923076923077,-2.8000000000000007,1
Michael Johnson,2009,CIN,70,EDGE,26.0,0.653255,39.800690388898666,14.2,0
Matt Shaughnessy,2009,OAK,71,EDGE,14.0,0.650563,21.51982206181416,2.1999999999999997,1
Brandon Graham,2010,PHI,13,EDGE,8.0,3.3726,2.3720571665777146,-16.6,3
Jason Pierre-Paul,2010,NYG,15,EDGE,31.0,3.0968,10.01033324722294,6.399999999999999,3
Derrick Morgan,2010,TEN,16,EDGE,18.0,3.000002,5.999996000002667,-4.333333333333332,3
Jared Odrick,2010,MIA,28,EDGE,16.0,1.984388,8.062939304208653,-2.5729166666666643,3
Jerry Hughes,2010,IND,31,EDGE,9.0,1.941,4.636785162287481,-9.572916666666664,3
Lamarr Houston,2010,OAK,44,EDGE,27.0,1.0825,24.94226327944573,11.933333333333334,0
Jason Worilds,2010,PIT,52,EDGE,16.0,0.91875,17.41496598639456,4.199999999999999,0
Carlos Dunlap,2010,CIN,54,EDGE,19.0,0.89245,21.289708106896747,7.199999999999999,0
Mike Neal,2010,GNB,56,EDGE,7.0,0.861625,8.12418395473669,-4.800000000000001,1
Aldon Smith,2011,SFO,7,EDGE,26.0,3.596,7.230255839822024,1.3999999999999986,3
J.J. Watt,2011,HOU,11,EDGE,69.0,2.809375,24.56062291434928,44.4,0
Robert Quinn,2011,STL,14,EDGE,37.0,3.281011,11.27701187225523,12.4,2
Ryan Kerrigan,2011,WAS,16,EDGE,31.0,3.151659,9.83608950079942,8.666666666666668,3
Adrian Clayborn,2011,TAM,20,EDGE,13.0,2.052542,6.333609738558335,-5.572916666666664,3
Cameron Jordan,2011,NOR,24,EDGE,34.0,2.94008,11.564311175206116,15.427083333333336,0
Cameron Heyward,2011,PIT,31,EDGE,18.0,2.734806,6.581819697631204,-0.5729166666666643,3
Jabaal Sheard,2011,CLE,37,EDGE,25.0,1.272563,19.64539280177092,6.427083333333336,0
Da'Quan Bowers,2011,TAM,51,EDGE,7.0,0.963909,7.262096318220911,-4.800000000000001,1
Allen Bailey,2011,KAN,86,EDGE,13.0,0.667736,19.468772089568333,2.533333333333333,1
Bruce Irvin,2012,SEA,15,EDGE,23.0,2.33555,9.847787459056754,-1.6000000000000014,3
Quinton Coples,2012,NYJ,16,EDGE,18.0,2.2007,8.179215704094153,-4.333333333333332,3
Melvin Ingram,2012,SDG,18,EDGE,15.0,3.22985,4.644178522222394,-3.5729166666666643,3
Shea McClellin,2012,CHI,19,EDGE,14.0,2.06585,6.776871505675629,-4.572916666666664,3
Chandler Jones,2012,NWE,21,EDGE,32.0,3.1945,10.017217091876663,13.427083333333336,0
Whitney Mercilus,2012,HOU,26,EDGE,24.0,1.908524,12.575162795961695,5.427083333333336,3
Nick Perry,2012,GNB,28,EDGE,10.0,1.874813,5.333865297499004,-8.572916666666664,3
Vinny Curry,2012,PHI,59,EDGE,6.0,0.845458,7.096745196094897,-5.800000000000001,1
Tyrone Crawford,2012,DAL,81,EDGE,14.0,0.685063,20.43607668199859,3.533333333333333,1
Akiem Hicks,2012,NOR,89,EDGE,18.0,0.6701,26.86166243844202,7.533333333333333,0
Jake Bequette,2012,NWE,90,EDGE,0.0,0.6637,0.0,-6.1,1
Dion Jordan,2013,MIA,3,EDGE,3.0,5.143075,0.5833086237319114,-21.6,3
Ezekiel Ansah,2013,DET,5,EDGE,32.0,6.2657,5.107170786983098,7.399999999999999,2
Bjoern Werner,2013,IND,24,EDGE,10.0,1.9741,5.065599513702447,-8.572916666666664,3
