player_name,draft_year,round,pick,team,pos_group,apy_m,av_y1_4,roi,surplus,era
Mario Williams,2006,1,1,HOU,EDGE,9.0,38.0,4.222222222222222,4.0,2006–2015
Kamerion Wimbley,2006,1,13,CLE,EDGE,2.091875,27.0,12.907080968031073,2.3999999999999986,2006–2015
Tamba Hali,2006,1,20,KAN,EDGE,1.9,31.0,16.315789473684212,12.427083333333336,2006–2015
Manny Lawson,2006,1,22,SFO,EDGE,1.7075,20.0,11.71303074670571,1.4270833333333357,2006–2015
Mathias Kiwanuka,2006,1,32,NYG,EDGE,1.3952,21.0,15.051605504587156,2.427083333333336,2006–2015
Darryl Tapp,2006,2,63,SEA,EDGE,,22.0,,10.2,2006–2015
Chris Gocong,2006,3,71,PHI,EDGE,,17.0,,5.199999999999999,2006–2015
Frostee Rucker,2006,3,91,CIN,EDGE,0.5575,6.0,10.762331838565023,-0.0999999999999996,2006–2015
Jason Hatcher,2006,3,92,DAL,EDGE,0.555625,6.0,10.798650168728908,-0.0999999999999996,2006–2015
Gaines Adams,2007,1,4,TAM,EDGE,,18.0,,-6.600000000000001,2006–2015
Jamaal Anderson,2007,1,8,ATL,EDGE,,20.0,,-4.600000000000001,2006–2015
Adam Carriker,2007,1,13,STL,EDGE,2.569,17.0,6.617360840794084,-7.600000000000001,2006–2015
Jarvis Moss,2007,1,17,DEN,EDGE,,2.0,,-16.572916666666664,2006–2015
Anthony Spencer,2007,1,26,DAL,EDGE,1.8,19.0,10.555555555555555,0.4270833333333357,2006–2015
LaMarr Woodley,2007,2,46,PIT,EDGE,0.8825,37.0,41.92634560906516,21.933333333333334,2006–2015
Tim Crowder,2007,2,56,DEN,EDGE,,10.0,,-1.8000000000000007,2006–2015
Victor Abiamiri,2007,2,57,PHI,EDGE,,5.0,,-6.800000000000001,2006–2015
Ikaika Alama-Francis,2007,2,58,DET,EDGE,,2.0,,-9.8,2006–2015
Quentin Moses,2007,3,65,OAK,EDGE,,5.0,,-6.800000000000001,2006–2015
Charles Johnson,2007,3,83,CAR,EDGE,0.59375,14.0,23.57894736842105,3.533333333333333,2006–2015
Ray McDonald,2007,3,97,SFO,EDGE,0.564375,10.0,17.718715393133998,3.9,2006–2015
Chris Long,2008,1,2,STL,EDGE,9.6,25.0,2.604166666666667,0.0,2006–2015
Vernon Gholston,2008,1,6,NYJ,EDGE,6.5,6.0,0.9230769230769232,-18.6,2006–2015
Derrick Harvey,2008,1,8,JAX,EDGE,,15.0,,-9.6,2006–2015
Lawrence Jackson,2008,1,28,SEA,EDGE,,15.0,,-3.5729166666666643,2006–2015
Phillip Merling,2008,2,32,MIA,EDGE,,6.0,,-12.572916666666664,2006–2015
Calais Campbell,2008,2,50,ARI,EDGE,0.869875,24.0,27.59017100158069,8.933333333333334,2006–2015
