era,pick_band,pos_group,mean_surplus
2006–2015,01–08,EDGE,-4.257
2006–2015,01–08,IDL,-1.495
2006–2015,01–08,OFF-LB,-5.244
2006–2015,01–08,OL,-4.061
2006–2015,01–08,QB,-0.149
2006–2015,01–08,RB,-1.25
2006–2015,01–08,SECONDARY,-1.049
2006–2015,01–08,TE,-0.819
2006–2015,01–08,WR,-3.773
2006–2015,09–16,EDGE,1.836
2006–2015,09–16,IDL,0.664
2006–2015,09–16,OFF-LB,2.391
2006–2015,09–16,OL,2.23
2006–2015,09–16,QB,-9.4
2006–2015,09–16,RB,-1.51
2006–2015,09–16,SECONDARY,1.385
2006–2015,09–16,TE,-2.819
2006–2015,09–16,WR,-2.244
2006–2015,17–32,EDGE,-1.448
2006–2015,17–32,IDL,-0.152
2006–2015,17–32,OFF-LB,2.487
2006–2015,17–32,OL,-2.547
2006–2015,17–32,QB,-4.571
2006–2015,17–32,RB,-0.551
2006–2015,17–32,SECONDARY,1.658
2006–2015,17–32,TE,-2.153
2006–2015,17–32,WR,1.034
2006–2015,33–64,EDGE,0.943
2006–2015,33–64,IDL,-1.319
2006–2015,33–64,OFF-LB,0.419
2006–2015,33–64,OL,-1.089
2006–2015,33–64,QB,0.56
2006–2015,33–64,RB,-0.542
2006–2015,33–64,SECONDARY,-0.555
2006–2015,33–64,TE,-0.434
2006–2015,33–64,WR,-0.28
2006–2015,65–96+,EDGE,0.644
2006–2015,65–96+,IDL,-0.278
2006–2015,65–96+,OFF-LB,-0.604
2006–2015,65–96+,OL,0.047
2006–2015,65–96+,QB,5.0
2006–2015,65–96+,RB,0.831
2006–2015,65–96+,SECONDARY,-0.462
2006–2015,65–96+,TE,0.077
2006–2015,65–96+,WR,0.614
2016–2024,01–08,EDGE,-1.479
2016–2024,01–08,IDL,-4.0
2016–2024,01–08,OFF-LB,0.0
2016–2024,01–08,OL,3.017
2016–2024,01–08,QB,-3.022
2016–2024,01–08,RB,0.833
2016–2024,01–08,SECONDARY,-2.741
2016–2024,01–08,TE,-6.333
2016–2024,01–08,WR,-0.356
2016–2024,09–16,EDGE,-2.458
2016–2024,09–16,IDL,1.617
2016–2024,09–16,OFF-LB,-1.643
2016–2024,09–16,OL,-1.947
2016–2024,09–16,QB,-1.563
2016–2024,09–16,SECONDARY,2.696
2016–2024,09–16,WR,-7.213
2016–2024,17–32,EDGE,-1.79
2016–2024,17–32,IDL,-3.7
2016–2024,17–32,OFF-LB,-0.609
2016–2024,17–32,OL,0.785
2016–2024,17–32,QB,-0.167
2016–2024,17–32,RB,-6.283
2016–2024,17–32,SECONDARY,-0.257
2016–2024,17–32,TE,1.467
2016–2024,17–32,WR,0.12
2016–2024,33–64,EDGE,-0.891
2016–2024,33–64,IDL,0.19
2016–2024,33–64,OFF-LB,-0.052
2016–2024,33–64,OL,0.261
2016–2024,33–64,QB,-1.583
2016–2024,33–64,RB,-0.858
2016–2024,33–64,SECONDARY,0.553
2016–2024,33–64,TE,-0.117
2016–2024,33–64,WR,0.142
2016–2024,65–96+,EDGE,1.318
2016–2024,65–96+,IDL,0.168
2016–2024,65–96+,OFF-LB,0.41
2016–2024,65–96+,OL,1.019
2016–2024,65–96+,QB,0.905
2016–2024,65–96+,RB,3.036
2016–2024,65–96+,SECONDARY,0.127
2016–2024,65–96+,TE,1.144
2016–2024,65–96+,WR,0.837
