era,team,n,avg_apy,avg_av,roi,surplus
2006–2015,ARI,29,1.817,17.172,10.017,-0.758
2006–2015,ATL,30,1.962,18.867,15.188,1.394
2006–2015,BAL,33,1.358,17.152,15.52,1.753
2006–2015,BUF,31,2.085,16.419,10.712,-3.215
2006–2015,CAR,30,1.919,19.267,14.661,2.052
2006–2015,CHI,25,1.471,15.12,14.053,-0.481
2006–2015,CIN,35,1.693,15.543,9.62,-0.639
2006–2015,CLE,34,2.154,15.088,8.904,-3.723
2006–2015,DAL,26,1.499,18.538,13.518,1.109
2006–2015,DEN,33,1.829,17.121,10.63,-0.938
2006–2015,DET,35,2.457,15.714,8.404,-3.933
2006–2015,GNB,33,1.447,16.879,12.085,1.269
2006–2015,HOU,30,1.969,20.133,12.969,1.72
2006–2015,IND,29,1.404,15.897,10.389,0.303
2006–2015,JAX,28,2.045,18.286,12.901,-1.181
2006–2015,KAN,35,2.05,18.314,16.694,0.673
2006–2015,MIA,32,1.893,15.75,12.23,-1.964
2006–2015,MIN,28,2.065,21.107,12.558,2.695
2006–2015,NOR,26,1.825,17.0,10.247,-0.183
2006–2015,NWE,37,1.383,14.378,10.173,-0.586
2006–2015,NYG,31,2.023,15.774,10.01,-0.201
2006–2015,NYJ,28,2.433,17.821,8.179,-0.061
2006–2015,OAK,28,2.675,17.179,8.316,-1.827
2006–2015,PHI,31,1.569,15.903,11.416,-1.714
2006–2015,PIT,30,1.443,18.833,16.642,1.916
2006–2015,SDG,29,1.502,16.379,11.237,-0.254
2006–2015,SEA,23,2.001,22.957,10.993,5.399
2006–2015,SFO,32,1.907,16.656,8.477,-0.706
2006–2015,STL,36,2.642,15.806,10.484,-2.699
2006–2015,TAM,30,2.214,19.067,13.333,-0.28
2006–2015,TEN,30,1.712,16.367,8.171,-1.406
2006–2015,WAS,22,2.287,18.091,12.052,0.171
2016–2024,ARI,16,2.517,12.125,4.092,0.193
2016–2024,ATL,16,2.335,10.125,4.174,0.073
2016–2024,BAL,22,1.77,12.818,4.887,3.608
2016–2024,BUF,17,2.019,14.941,6.49,4.031
2016–2024,CAR,20,2.067,11.1,2.748,-0.217
2016–2024,CHI,12,2.627,14.917,6.885,1.334
2016–2024,CIN,18,2.533,9.722,3.325,-0.565
2016–2024,CLE,24,2.381,11.167,4.85,-0.845
2016–2024,DAL,18,1.926,13.222,5.885,1.554
2016–2024,DEN,23,2.03,7.913,2.738,-1.919
2016–2024,DET,19,2.363,10.263,4.642,-1.729
2016–2024,GNB,19,1.808,7.789,4.476,-1.608
2016–2024,HOU,16,1.474,12.0,5.579,2.679
2016–2024,IND,18,1.902,10.389,4.602,-0.582
2016–2024,JAX,19,2.701,12.263,4.082,-1.217
2016–2024,KAN,16,1.436,13.188,4.684,3.656
2016–2024,LAC,15,2.412,9.2,3.874,-1.255
2016–2024,LAR,15,1.533,9.4,4.553,0.651
2016–2024,LVR,8,2.096,1.0,0.0,-8.125
2016–2024,MIA,23,2.462,8.783,2.58,-2.455
2016–2024,MIN,18,1.781,8.722,3.635,-0.363
2016–2024,NOR,18,1.888,17.889,7.782,8.171
2016–2024,NWE,20,1.511,5.95,1.635,-1.961
2016–2024,NYG,18,2.849,11.611,3.915,-1.134
2016–2024,NYJ,17,3.139,9.529,1.476,-2.857
2016–2024,OAK,14,2.26,9.857,5.707,-1.458
2016–2024,PHI,15,2.298,8.8,2.656,-1.751
2016–2024,PIT,19,1.417,13.105,7.717,3.944
2016–2024,SDG,3,2.986,16.0,5.256,1.596
2016–2024,SEA,20,1.393,8.65,5.285,-0.06
2016–2024,SFO,19,2.996,10.632,2.259,-1.73
2016–2024,TAM,21,1.962,9.571,4.13,-0.408
2016–2024,TEN,21,2.007,12.619,5.318,2.23
2016–2024,WAS,18,2.231,8.5,3.892,-3.76
